儐	(傧|儐)
儒	(㐵|儒)
儓	(枱|檯|儓|台|臺|颱)
儔	(俦|儔)
儕	(侪|儕)
儗	(擬|儗|拟)
儘	(侭|尽|儘|盡)
儛	(㒇|儛)
償	(偿|償)
儡	(酹|儡)
儣	(𠆲|儣)
優	(优|優)
儭	(襯|儭|衬)
儲	(储|儲)
儶	(㒞|儶)
儷	(俪|儷)
儸	(㑩|儸)
儺	(傩|儺)
儻	(倘|傥|儻)
儼	(俨|儼)
儿	(兒|儿|児)
兀	(兀|兀)
兇	(凶|㐫|兇)
光	(灮|光)
克	(剋|克|尅)
兌	(兑|兌)
兎	(兔|兎)
児	(兒|儿|児)
兑	(兌|兑)
兒	(儿|児|兒)
兔	(兎|兔)
兖	(兗|兖)
兗	(兖|兗)
党	(黨|党)
兦	(亡|亾|兦)
內	(内|內)
全	(㒰|全)
兩	(両|两|兩|兩)
兪	(俞|兪)
八	(捌|八)
六	(陸|六|六|陆|陸)
兮	(𠔃|兮)
兰	(蘭|兰|蘭)
关	(關|关|寡|関|闗|𨶹)
兴	(興|㒷|兴)
其	(丌|亓|其)
兹	(玆|茲|兹)
养	(養|养)
兽	(獸|兽|獣)
兿	(藝|兿|埶|秇|艺|芸|蓺|蕓)
冁	(囅|冁)
冂	(冋|坰|冂)
冄	(冉|冄)
内	(內|内)
円	(圓|円|圆|圎)
冈	(岡|冈|岗|崗)
冉	(冄|冉)
冊	(册|冊)
冋	(冂|坰|冋)
册	(冊|册)
冐	(冒|冐|冒)
冑	(伷|胄|冑|咮)
冒	(冐|冒|冒)
冗	(宂|冗|冗)
写	(寫|写|冩)
军	(軍|军)
农	(農|农|莀)
冝	(宜|冝|宐)
冢	(塚|中|冢|塚)
冤	(寃|冤)
冦	(寇|冦|宼)
冨	(富|冨)
冩	(寫|写|冩)
冪	(幂|羃|鼏|冪)
冫	(冰|氷|冫)
冬	(鼕|冬)
冯	(馮|冯)
冰	(冫|氷|冰)
冱	(沍|沪|冱|滬)
冲	(沖|衝|冲|盅|𧘂)
决	(決|决)
况	(況|况|湟)
冷	(冷|冷)
冻	(凍|冻)
冽	(洌|冽)
净	(凈|淨|净|浄)
凂	(浼|凂|潣)
凃	(塗|凃|涂)
凄	(淒|凄|悽)
凅	(涸|凅)
准	(準|准|凖)
凈	(净|淨|凈|浄)
凉	(涼|凉|鿌|凉)
凋	(雕|㓮|凋|彫|琱|鵰)
凌	(凌|凌)
凍	(冻|凍)
减	(減|减)
凑	(湊|凑)
凖	(準|准|凖)
凙	(𪞝|凙)
凛	(凜|懔|凛|凜|懍)
凜	(凛|凜|凜|懔|懍)
凞	(凞|凞)
几	(幾|几)
凡	(凢|凣|凡)
凢	(凡|凢|凣)
凣	(凡|凢|凣)
凤	(鳳|凤|鳯)
処	(䖏|處|処|嗻|处)
凨	(風|凨|风)
凫	(鳧|凫)
凭	(憑|凭|凴|𠗦)
凯	(凱|凯)
凱	(凯|凱)
凳	(櫈|凳)
凴	(憑|凭|凴|𠗦)
凶	(㐫|兇|凶)
凷	(塊|凷|块)
凹	(𠕄|凹)
出	(岀|出)
击	(擊|击|撃)
凼	(幽|凼)
函	(凾|圅|函)
凾	(函|圅|凾)
凿	(鑿|凿)
刀	(刂|刀)
刂	(刀|刂)
刃	(刄|刃)
刄	(刃|刄)
刅	(創|刅|创|刱|剙|戧|剏|戗)
分	(份|分|彬|斌)
切	(切|切)
刈	(苅|刈)
刊	(刋|刊)
刋	(刊|刋)
刍	(芻|刍|蒭|𦷝)
划	(劃|划)
刓	(园|刓|園)
刔	(抉|刔)
列	(列|列)
刘	(劉|刘|劉)
则	(則|则)
刚	(剛|刚)
创	(創|刅|创|刱|剙|戧|剏|戗)
删	(刪|删)
別	(别|別)
刦	(刧|劫|刦|刼)
刧	(刦|劫|刧|刼)
刨	(鉋|刨|铇)
利	(利|𥝢|利)
刪	(删|刪)
别	(別|别)
刬	(剗|刬|剷|鏟|铲)
刭	(剄|刭)
刮	(颳|刮)
